date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:02:36	8636/8636	---M--	200	added ('OK')	font/ttf	etag:%2256df4ac8-21bc%22	https://duckduckgo.com/font/ddg-serp-icons.ttf?v=120	/root/Desktop/duckduckgo/duckduckgo.com/font/ddg-serp-icons80da.ttf	(from https://duckduckgo.com/s1224.css)
05:02:37	1569/1569	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-621%22	https://duckduckgo.com/assets/icons/browsers/small/chrome.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/chrome.png	(from https://duckduckgo.com/s1224.css)
05:02:37	1761/1761	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-6e1%22	https://duckduckgo.com/assets/icons/browsers/small/chrome.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/chrome.svg	(from https://duckduckgo.com/s1224.css)
05:02:37	4788/4788	---M--	200	added ('OK')	image/png	etag:%2257e2e267-12b4%22	https://duckduckgo.com/assets/icons/browsers/small/firefox.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/firefox.png	(from https://duckduckgo.com/s1224.css)
05:02:37	170610/170610	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2257e2e267-29a72%22	https://duckduckgo.com/assets/icons/browsers/small/firefox.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/firefox.svg	(from https://duckduckgo.com/s1224.css)
05:02:38	1527/1527	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-5f7%22	https://duckduckgo.com/assets/icons/browsers/small/safari.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/safari.png	(from https://duckduckgo.com/s1224.css)
05:02:38	1471/1471	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-5bf%22	https://duckduckgo.com/assets/icons/browsers/small/safari.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/safari.svg	(from https://duckduckgo.com/s1224.css)
05:02:39	799/799	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-31f%22	https://duckduckgo.com/assets/icons/browsers/small/opera.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/opera.png	(from https://duckduckgo.com/s1224.css)
05:02:39	1432/1432	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-598%22	https://duckduckgo.com/assets/icons/browsers/small/opera.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/opera.svg	(from https://duckduckgo.com/s1224.css)
05:02:39	1085/1085	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-43d%22	https://duckduckgo.com/assets/icons/browsers/small/ie.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/ie.png	(from https://duckduckgo.com/s1224.css)
05:02:40	1285/1285	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-505%22	https://duckduckgo.com/assets/icons/browsers/small/ie.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/ie.svg	(from https://duckduckgo.com/s1224.css)
